Entry.name	Entry (UniProtAC)	Protein Name	Gene names
RL40_HUMAN	P62987	Ubiquitin-60S ribosomal protein L40 (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (Large ribosomal subunit protein eL40)]	UBA52; UBCEP2
RL14_HUMAN	P50914	60S ribosomal protein L14 (CAG-ISL 7) (Large ribosomal subunit protein eL14)	RPL14
RL22_HUMAN	P35268	60S ribosomal protein L22 (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15) (Large ribosomal subunit protein eL22)	RPL22
RL27_HUMAN	P61353	60S ribosomal protein L27 (Large ribosomal subunit protein eL27)	RPL27
RL36L_HUMAN	Q969Q0	60S ribosomal protein L36a-like (Large ribosomal subunit protein eL42-like)	RPL36AL
RL28_HUMAN	P46779	60S ribosomal protein L28 (Large ribosomal subunit protein eL28)	RPL28
RL8_HUMAN	P62917	60S ribosomal protein L8 (Large ribosomal subunit protein uL2)	RPL8
RL38_HUMAN	P63173	60S ribosomal protein L38 (Large ribosomal subunit protein eL38)	RPL38
RL32_HUMAN	P62910	60S ribosomal protein L32 (Large ribosomal subunit protein eL32)	RPL32; PP9932
RL19_HUMAN	P84098	60S ribosomal protein L19 (Large ribosomal subunit protein eL19)	RPL19
RL23A_HUMAN	P62750	60S ribosomal protein L23a (Large ribosomal subunit protein uL23)	RPL23A
R39L5_HUMAN	Q59GN2	Putative 60S ribosomal protein L39-like 5 (60S ribosomal protein L39 pseudogene 5)	RPL39P5
RL39_HUMAN	P62891	60S ribosomal protein L39 (Large ribosomal subunit protein eL39)	RPL39
RL36_HUMAN	Q9Y3U8	60S ribosomal protein L36 (Large ribosomal subunit protein eL36)	RPL36
RL31_HUMAN	P62899	60S ribosomal protein L31 (Large ribosomal subunit protein eL31)	RPL31
RL6_HUMAN	Q02878	60S ribosomal protein L6 (Large ribosomal subunit protein eL6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107) (TaxREB107)	RPL6; TXREB1
RL30_HUMAN	P62888	60S ribosomal protein L30 (Large ribosomal subunit protein eL30)	RPL30
RL11_HUMAN	P62913	60S ribosomal protein L11 (CLL-associated antigen KW-12) (Large ribosomal subunit protein uL5)	RPL11
RL26_HUMAN	P61254	60S ribosomal protein L26 (Large ribosomal subunit protein uL24)	RPL26
RL24_HUMAN	P83731	60S ribosomal protein L24 (60S ribosomal protein L30) (Large ribosomal subunit protein eL24)	RPL24
RL12_HUMAN	P30050	60S ribosomal protein L12 (Large ribosomal subunit protein uL11)	RPL12
RL7L_HUMAN	Q6DKI1	60S ribosomal protein L7-like 1 (Large ribosomal subunit protein uL30-like 1)	RPL7L1
RL5_HUMAN	P46777	60S ribosomal protein L5 (Large ribosomal subunit protein uL18)	RPL5; MSTP030
RL10_HUMAN	P27635	60S ribosomal protein L10 (Laminin receptor homolog) (Large ribosomal subunit protein uL16) (Protein QM) (Ribosomal protein L10) (Tumor suppressor QM)	RPL10; DXS648E; QM
RL18_HUMAN	Q07020	60S ribosomal protein L18 (Large ribosomal subunit protein eL18)	RPL18
RL15_HUMAN	P61313	60S ribosomal protein L15 (Large ribosomal subunit protein eL15)	RPL15; EC45; TCBAP0781
RLA0_HUMAN	P05388	60S acidic ribosomal protein P0 (60S ribosomal protein L10E) (Large ribosomal subunit protein uL10)	RPLP0
RL21_HUMAN	P46778	60S ribosomal protein L21 (Large ribosomal subunit protein eL21)	RPL21
RL4_HUMAN	P36578	60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4)	RPL4; RPL1
RL9_HUMAN	P32969	60S ribosomal protein L9 (Large ribosomal subunit protein uL6)	RPL9; OK/SW-cl.103;; RPL9P7;; RPL9P8;; RPL9P9
RL13A_HUMAN	P40429	60S ribosomal protein L13a (23 kDa highly basic protein) (Large ribosomal subunit protein uL13)	RPL13A
RL17_HUMAN	P18621	60S ribosomal protein L17 (60S ribosomal protein L23) (Large ribosomal subunit protein uL22) (PD-1)	RPL17
RL18A_HUMAN	Q02543	60S ribosomal protein L18a (Large ribosomal subunit protein eL20)	RPL18A
RL37A_HUMAN	P61513	60S ribosomal protein L37a (Large ribosomal subunit protein eL43)	RPL37A
RL35_HUMAN	P42766	60S ribosomal protein L35 (Large ribosomal subunit protein uL29)	RPL35
RL23_HUMAN	P62829	60S ribosomal protein L23 (60S ribosomal protein L17) (Large ribosomal subunit protein uL14)	RPL23
RL13_HUMAN	P26373	60S ribosomal protein L13 (Breast basic conserved protein 1) (Large ribosomal subunit protein eL13)	RPL13; BBC1; OK/SW-cl.46
RL35A_HUMAN	P18077	60S ribosomal protein L35a (Cell growth-inhibiting gene 33 protein) (Large ribosomal subunit protein eL33)	RPL35A; GIG33
RL10A_HUMAN	P62906	60S ribosomal protein L10a (CSA-19) (Large ribosomal subunit protein uL1) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)	RPL10A; NEDD6
RL27A_HUMAN	P46776	60S ribosomal protein L27a (Large ribosomal subunit protein uL15)	RPL27A
RL34_HUMAN	P49207	60S ribosomal protein L34 (Large ribosomal subunit protein eL34)	RPL34
RL3_HUMAN	P39023	60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B) (Large ribosomal subunit protein uL3)	RPL3; OK/SW-cl.32
RL7_HUMAN	P18124	60S ribosomal protein L7 (Large ribosomal subunit protein uL30)	RPL7
RL26L_HUMAN	Q9UNX3	60S ribosomal protein L26-like 1 (Large ribosomal subunit protein uL24-like 1)	RPL26L1; RPL26P1
RL29_HUMAN	P47914	60S ribosomal protein L29 (Cell surface heparin-binding protein HIP) (Large ribosomal subunit protein eL29)	RPL29
RL7A_HUMAN	P62424	60S ribosomal protein L7a (Large ribosomal subunit protein eL8) (PLA-X polypeptide) (Surfeit locus protein 3)	RPL7A; SURF-3; SURF3
RS27A_HUMAN	P62979	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a (Small ribosomal subunit protein eS31)]	RPS27A; UBA80; UBCEP1
RS28_HUMAN	P62857	40S ribosomal protein S28 (Small ribosomal subunit protein eS28)	RPS28
RS27_HUMAN	P42677	40S ribosomal protein S27 (Metallopan-stimulin 1) (MPS-1) (Small ribosomal subunit protein eS27)	RPS27; MPS1
RS21_HUMAN	P63220	40S ribosomal protein S21 (Small ribosomal subunit protein eS21)	RPS21
RS30_HUMAN	P62861	FAU ubiquitin-like and ribosomal protein S30 [Cleaved into: Ubiquitin-like protein FUBI; 40S ribosomal protein S30 (Small ribosomal subunit protein eS30)]	FAU
RS3_HUMAN	P23396	40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)	RPS3; OK/SW-cl.26
RS8_HUMAN	P62241	40S ribosomal protein S8 (Small ribosomal subunit protein eS8)	RPS8; OK/SW-cl.83
RS4X_HUMAN	P62701	"40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)"	RPS4X; CCG2; RPS4; SCAR
RSSA_HUMAN	P08865	40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)	RPSA; LAMBR; LAMR1
RS11_HUMAN	P62280	40S ribosomal protein S11 (Small ribosomal subunit protein uS17)	RPS11
RS24_HUMAN	P62847	40S ribosomal protein S24 (Small ribosomal subunit protein eS24)	RPS24
RS16_HUMAN	P62249	40S ribosomal protein S16 (Small ribosomal subunit protein uS9)	RPS16
RS23_HUMAN	P62266	40S ribosomal protein S23 (Small ribosomal subunit protein uS12)	RPS23
RS18_HUMAN	P62269	40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)	RPS18; D6S218E
RS15_HUMAN	P62841	40S ribosomal protein S15 (RIG protein) (Small ribosomal subunit protein uS19)	RPS15; RIG
RS2_HUMAN	P15880	40S ribosomal protein S2 (40S ribosomal protein S4) (Protein LLRep3) (Small ribosomal subunit protein uS5)	RPS2; RPS4
RS9_HUMAN	P46781	40S ribosomal protein S9 (Small ribosomal subunit protein uS4)	RPS9
RS26_HUMAN	P62854	40S ribosomal protein S26 (Small ribosomal subunit protein eS26)	RPS26
RS26L_HUMAN	Q5JNZ5	Putative 40S ribosomal protein S26-like 1	RPS26P11; RPS26L1
RS14_HUMAN	P62263	40S ribosomal protein S14 (Small ribosomal subunit protein uS11)	RPS14; PRO2640
RS6_HUMAN	P62753	40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6)	RPS6; OK/SW-cl.2
RS25_HUMAN	P62851	40S ribosomal protein S25 (Small ribosomal subunit protein eS25)	RPS25
RS15A_HUMAN	P62244	40S ribosomal protein S15a (Small ribosomal subunit protein uS8)	RPS15A; OK/SW-cl.82
RS17_HUMAN	P08708	40S ribosomal protein S17 (Small ribosomal subunit protein eS17)	RPS17; RPS17L
RS13_HUMAN	P62277	40S ribosomal protein S13 (Small ribosomal subunit protein uS15)	RPS13
RS5_HUMAN	P46782	"40S ribosomal protein S5 (Small ribosomal subunit protein uS7) [Cleaved into: 40S ribosomal protein S5, N-terminally processed]"	RPS5
RS27L_HUMAN	Q71UM5	40S ribosomal protein S27-like (Small ribosomal subunit protein eS27-like)	RPS27L
RS3A_HUMAN	P61247	40S ribosomal protein S3a (Small ribosomal subunit protein eS1) (v-fos transformation effector protein) (Fte-1)	RPS3A; FTE1; MFTL
RS20_HUMAN	P60866	40S ribosomal protein S20 (Small ribosomal subunit protein uS10)	RPS20
RS10_HUMAN	P46783	40S ribosomal protein S10 (Small ribosomal subunit protein eS10)	RPS10
RS19_HUMAN	P39019	40S ribosomal protein S19 (Small ribosomal subunit protein eS19)	RPS19
RS4Y1_HUMAN	P22090	"40S ribosomal protein S4, Y isoform 1 (Small ribosomal subunit protein eS4)"	RPS4Y1; RPS4Y; PRO2646
RS7_HUMAN	P62081	40S ribosomal protein S7 (Small ribosomal subunit protein eS7)	RPS7
RS12_HUMAN	P25398	40S ribosomal protein S12 (Small ribosomal subunit protein eS12)	RPS12
RS29_HUMAN	P62273	40S ribosomal protein S29 (Small ribosomal subunit protein uS14)	RPS29
K22E_HUMAN	P35908	"Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)"	KRT2; KRT2A; KRT2E
KPRP_HUMAN	Q5T749	Keratinocyte proline-rich protein (hKPRP)	KPRP; C1orf45
KR87P_HUMAN	A6NCN2	"Putative keratin-87 protein (Keratin, hair, basic pseudogene 4) (Keratin-121 pseudogene)"	KRT87P; KRT121P; KRTHBP4
